Task_ID,Model,Layer,Compute,Self CPU (us),CPU Total (us),CUDA Total (us),Self CPU Mem (bytes),Self CUDA Mem (bytes),Total Execution Time (us),Total Memory Used (bytes)
heavy_1,PretrainedResNet18,volta_sgemm_128x64_nn,GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_bn2,GPU-0-CPU-1,189.7299999999923,448.6769999999924,0.0,0,0,448.6769999999924,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_downsample_0,GPU-0-CPU-1,191.30099999999584,462.0739999999969,0.0,0,0,462.0739999999969,0
heavy_1,PretrainedResNet18,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)",GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,resnet18_layer3_0_downsample_1,GPU-0-CPU-1,200.0650000000005,449.06500000000415,0.0,0,0,449.06500000000415,0
heavy_1,PretrainedResNet18,_5x_cudnn_volta_scudnn_128x64_relu_interior_nn_v1,GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,add_4,GPU-0-CPU-1,140.15999999999804,260.0640000000003,0.0,0,0,260.0640000000003,0
heavy_1,PretrainedResNet18,resnet18_layer3_1_conv1,GPU-0-CPU-1,182.94300000001022,517.1450000000077,0.0,0,0,517.1450000000077,0
heavy_1,PretrainedResNet18,resnet18_layer3_1_bn1,GPU-0-CPU-1,217.02699999999095,472.65599999999904,0.0,0,0,472.65599999999904,0
heavy_1,PretrainedResNet18,resnet18_layer3_1_relu_1,GPU-0-CPU-1,333.0949999999957,798.6389999999992,0.0,0,0,798.6389999999992,0
heavy_1,PretrainedResNet18,resnet18_layer3_1_relu,GPU-0-CPU-1,258.40499999999884,465.5440000000035,0.0,0,0,465.5440000000035,0
heavy_1,PretrainedResNet18,resnet18_layer3_1_conv2,GPU-0-CPU-1,175.6910000000007,475.387999999999,0.0,0,0,475.387999999999,0
heavy_1,PretrainedResNet18,resnet18_layer3_1_bn2,GPU-0-CPU-1,232.5140000000083,512.082000000004,0.0,0,0,512.082000000004,0
heavy_1,PretrainedResNet18,add_5,GPU-0-CPU-1,121.3219999999983,211.733000000002,0.0,0,0,211.733000000002,0
heavy_1,PretrainedResNet18,resnet18_layer4_0_conv1,GPU-0-CPU-1,236.2479999999996,617.7129999999997,0.0,0,0,617.7129999999997,0
heavy_1,PretrainedResNet18,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
